numero;especie;dap;altura;defoliacion;muerdago;comment
6;pinaster decaimiento;32.3;12.1;4;2;muerto otoño 2021
7;pinaster decaimiento;35;11.9;2;3;NA
8;pinaster decaimiento;28.3;9.6;4;0;NA
9;pinaster decaimiento;27.8;11.9;4;0;muerto otoño 2022
10;pinaster decaimiento;37.5;13.9;2;2;NA
11;pinaster sano;34.7;11.7;1;2;NA
12;pinaster sano;29.5;10.8;2;1;NA
13;pinaster sano;34.1;15.1;1;1;NA
14;pinaster sano;26.3;12.6;1;0;NA
15;pinaster sano;39;14.2;1;0;NA
26;pinaster decaimiento;33;11;2;2;NA
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
